timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%], pstate
2026/06/11 15:26:50.387, 17.29 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:51.387, 17.32 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:52.405, 17.11 W, 33, 187 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:53.420, 17.05 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:54.435, 17.27 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:55.436, 17.45 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:56.451, 17.41 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:57.452, 17.34 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:58.468, 17.40 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:59.484, 17.25 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:27:00.487, 17.01 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:27:01.489, 17.04 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:27:02.503, 17.11 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:27:03.516, 16.94 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:27:04.519, 17.42 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:27:05.519, 27.28 W, 35, 802 MHz, 13801 MHz, 1226 MiB, 13 %, P1
2026/06/11 15:27:06.519, 84.50 W, 36, 2917 MHz, 13801 MHz, 1754 MiB, 1 %, P1
2026/06/11 15:27:07.535, 92.85 W, 42, 2655 MHz, 13801 MHz, 3686 MiB, 55 %, P1
2026/06/11 15:27:08.536, 281.89 W, 44, 2902 MHz, 13801 MHz, 3686 MiB, 61 %, P1
2026/06/11 15:27:09.549, 300.02 W, 49, 2850 MHz, 13801 MHz, 3686 MiB, 74 %, P1
2026/06/11 15:27:10.551, 298.55 W, 47, 2850 MHz, 13801 MHz, 3686 MiB, 63 %, P1
2026/06/11 15:27:11.552, 301.13 W, 51, 2850 MHz, 13801 MHz, 3686 MiB, 65 %, P1
2026/06/11 15:27:12.553, 298.68 W, 48, 2850 MHz, 13801 MHz, 3686 MiB, 56 %, P1
2026/06/11 15:27:13.553, 298.10 W, 51, 2850 MHz, 13801 MHz, 3686 MiB, 60 %, P1
2026/06/11 15:27:14.567, 306.03 W, 50, 2850 MHz, 13801 MHz, 3686 MiB, 67 %, P1
2026/06/11 15:27:15.581, 290.77 W, 51, 2850 MHz, 13801 MHz, 10306 MiB, 92 %, P1
2026/06/11 15:27:16.583, 292.92 W, 56, 2842 MHz, 13801 MHz, 13374 MiB, 99 %, P1
2026/06/11 15:27:17.586, 264.53 W, 45, 2850 MHz, 13801 MHz, 13374 MiB, 3 %, P1
2026/06/11 15:27:18.600, 284.82 W, 53, 2850 MHz, 13801 MHz, 13374 MiB, 99 %, P1
2026/06/11 15:27:19.602, 307.69 W, 57, 2842 MHz, 13801 MHz, 17454 MiB, 99 %, P1
2026/06/11 15:27:20.602, 305.41 W, 47, 2842 MHz, 13801 MHz, 17454 MiB, 36 %, P1
2026/06/11 15:27:21.603, 254.07 W, 50, 2850 MHz, 13801 MHz, 17454 MiB, 98 %, P1
2026/06/11 15:27:22.611, 311.22 W, 55, 2842 MHz, 13801 MHz, 17454 MiB, 100 %, P1
2026/06/11 15:27:23.612, 245.70 W, 49, 2857 MHz, 13801 MHz, 17454 MiB, 14 %, P1
2026/06/11 15:27:24.616, 285.22 W, 55, 2850 MHz, 13801 MHz, 17454 MiB, 98 %, P1
2026/06/11 15:27:25.616, 318.82 W, 56, 2842 MHz, 13801 MHz, 17454 MiB, 100 %, P1
2026/06/11 15:27:26.617, 300.02 W, 48, 2842 MHz, 13801 MHz, 17454 MiB, 58 %, P1
2026/06/11 15:27:27.620, 297.54 W, 47, 2850 MHz, 13801 MHz, 17454 MiB, 0 %, P1
2026/06/11 15:27:28.630, 239.12 W, 50, 2857 MHz, 13801 MHz, 17454 MiB, 30 %, P1
2026/06/11 15:27:29.641, 304.67 W, 57, 2850 MHz, 13801 MHz, 17454 MiB, 100 %, P1
2026/06/11 15:27:30.652, 308.91 W, 48, 2857 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:27:31.662, 297.81 W, 50, 2857 MHz, 13801 MHz, 22238 MiB, 27 %, P1
2026/06/11 15:27:32.673, 316.09 W, 55, 2842 MHz, 13801 MHz, 22238 MiB, 99 %, P1
2026/06/11 15:27:33.678, 321.19 W, 51, 2842 MHz, 13801 MHz, 22238 MiB, 99 %, P1
2026/06/11 15:27:34.681, 300.75 W, 50, 2850 MHz, 13801 MHz, 22238 MiB, 25 %, P1
2026/06/11 15:27:35.696, 288.11 W, 51, 2850 MHz, 13801 MHz, 22238 MiB, 99 %, P1
2026/06/11 15:27:36.700, 322.49 W, 51, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:27:37.702, 290.14 W, 50, 2857 MHz, 13801 MHz, 22238 MiB, 23 %, P1
2026/06/11 15:27:38.706, 332.29 W, 51, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:27:39.709, 290.26 W, 49, 2857 MHz, 13801 MHz, 22238 MiB, 29 %, P1
2026/06/11 15:27:40.724, 340.21 W, 50, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:27:41.725, 288.92 W, 51, 2857 MHz, 13801 MHz, 22238 MiB, 40 %, P1
2026/06/11 15:27:42.728, 332.15 W, 51, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:27:43.731, 298.69 W, 47, 2850 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:27:44.745, 295.04 W, 53, 2857 MHz, 13801 MHz, 22238 MiB, 97 %, P1
2026/06/11 15:27:45.747, 300.94 W, 47, 2850 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:27:46.751, 271.34 W, 55, 2850 MHz, 13801 MHz, 22238 MiB, 99 %, P1
2026/06/11 15:27:47.753, 298.86 W, 50, 2850 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:27:48.767, 265.54 W, 52, 2857 MHz, 13801 MHz, 22238 MiB, 94 %, P1
2026/06/11 15:27:49.782, 318.63 W, 48, 2842 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:27:50.783, 282.38 W, 54, 2850 MHz, 13801 MHz, 22238 MiB, 98 %, P1
2026/06/11 15:27:51.795, 303.37 W, 48, 2850 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:27:52.808, 269.69 W, 54, 2850 MHz, 13801 MHz, 22238 MiB, 98 %, P1
2026/06/11 15:27:53.810, 297.20 W, 47, 2850 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:27:54.816, 272.52 W, 53, 2850 MHz, 13801 MHz, 22238 MiB, 99 %, P1
2026/06/11 15:27:55.820, 328.51 W, 49, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:27:56.832, 276.71 W, 47, 2850 MHz, 13801 MHz, 22238 MiB, 14 %, P1
2026/06/11 15:27:57.837, 282.59 W, 56, 2850 MHz, 13801 MHz, 22238 MiB, 99 %, P1
2026/06/11 15:27:58.853, 286.43 W, 46, 2850 MHz, 13801 MHz, 22238 MiB, 8 %, P1
2026/06/11 15:27:59.854, 280.92 W, 56, 2850 MHz, 13801 MHz, 22238 MiB, 99 %, P1
2026/06/11 15:28:00.869, 337.31 W, 48, 2842 MHz, 13801 MHz, 22238 MiB, 73 %, P1
2026/06/11 15:28:01.870, 261.91 W, 50, 2857 MHz, 13801 MHz, 22238 MiB, 23 %, P1
2026/06/11 15:28:02.886, 313.22 W, 56, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:28:03.901, 316.36 W, 47, 2842 MHz, 13801 MHz, 22238 MiB, 5 %, P1
2026/06/11 15:28:04.901, 288.94 W, 46, 2850 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:28:05.917, 295.17 W, 47, 2850 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:28:06.917, 271.89 W, 52, 2857 MHz, 13801 MHz, 22238 MiB, 75 %, P1
2026/06/11 15:28:07.918, 326.12 W, 52, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:28:08.919, 282.70 W, 48, 2850 MHz, 13801 MHz, 22238 MiB, 14 %, P1
2026/06/11 15:28:09.935, 301.15 W, 56, 2850 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:28:10.936, 293.75 W, 51, 2850 MHz, 13801 MHz, 22238 MiB, 23 %, P1
2026/06/11 15:28:11.936, 301.55 W, 56, 2850 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:28:12.949, 312.74 W, 46, 2842 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:28:13.952, 246.63 W, 50, 2857 MHz, 13801 MHz, 22238 MiB, 16 %, P1
2026/06/11 15:28:14.968, 300.14 W, 51, 2857 MHz, 13801 MHz, 22238 MiB, 22 %, P1
2026/06/11 15:28:15.982, 290.14 W, 49, 2857 MHz, 13801 MHz, 22238 MiB, 32 %, P1
2026/06/11 15:28:16.983, 293.81 W, 51, 2857 MHz, 13801 MHz, 22238 MiB, 22 %, P1
2026/06/11 15:28:17.986, 300.91 W, 49, 2857 MHz, 13801 MHz, 22238 MiB, 32 %, P1
2026/06/11 15:28:19.003, 298.33 W, 56, 2850 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:28:20.019, 336.55 W, 54, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:28:21.028, 269.25 W, 47, 2842 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:28:22.030, 270.17 W, 51, 2857 MHz, 13801 MHz, 22238 MiB, 91 %, P1
2026/06/11 15:28:23.044, 332.39 W, 47, 2842 MHz, 13801 MHz, 22238 MiB, 47 %, P1
2026/06/11 15:28:24.046, 273.64 W, 52, 2857 MHz, 13801 MHz, 22238 MiB, 78 %, P1
